entidad,delitos,cauptrtt,cauptr1,cauptr2,cauptr3,cauptr4,cauptr5,cauptr6
"14",40102,"40","22","9","","1","NSS","8"
"14",40103,"36","36","0","","NSS","NSS",""
"14",40104,"2","2","0","","NSS","NSS",""
"14",40105,"6","5","1","","NSS","NSS",""
"14",40106,"11","11","0","","NSS","NSS",""
"14",40107,"6","6","0","","NSS","NSS",""
"14",40108,"5","4","1","","NSS","NSS",""
"14",40109,"NSS","NSS","NSS","","NSS","NSS",""
"14",40110,"1","1","0","","NSS","NSS",""
"14",40111,"NSS","NSS","NSS","","NSS","NSS",""
"14",40112,"12","12","0","","NSS","NSS",""
"14",40113,"59","53","2","4","NSS","NSS",""
"14",40114,"7","5","NSS","2","NSS","NSS",""
"14",40115,"4","4","0","","NSS","NSS",""
"14",40116,"NSS","NSS","NSS","","NSS","NSS",""
"14",40119,"NSS","NSS","NSS","","NSS","NSS",""
"14",40199,"2144","1480","85","404","130","11","34"
"14",40200,"0","0","0","","0","0",""
"14",40300,"646","468","9","169","0","0",""
"14",40400,"28","15","1","12","0","0",""
"14",40500,"67","54","NSS","11","2","0",""
"14",40501,"NSS","NSS","NSS","","NSS","0",""
"14",40509,"NSS","NSS","NSS","","NSS","0",""
"14",40599,"67","54","","11","2","",""
"14",40600,"761","508","1","237","13","NSS","2"
"14",40700,"135","105","1","28","NSS","NSS","1"
"14",40900,"1","NSS","NSS","1","0","0",""
"14",50100,"429","277","1","108","10","NSS","33"
"14",50200,"53","35","NSS","18","0","0",""
"14",50900,"6","1","NSS","5","0","0",""
"14",60100,"54","43","NSS","8","3","0",""
"14",60101,"45","36","NSS","7","2","0",""
"14",60102,"2","NSS","NSS","1","1","0",""
"14",60103,"2","2","0","","0","0",""
"14",60104,"3","3","0","","0","0",""
"14",60105,"0","0","0","","0","0",""
"14",60106,"0","0","0","","0","0",""
"14",60109,"2","2","0","","0","0",""
"14",60199,"","","","","","",""
"14",60200,"2","1","NSS","1","0","0",""
"14",60201,"NSS","NSS","NSS","","0","0",""
"14",60202,"NSS","NSS","NSS","","0","0",""
"14",60203,"NSS","NSS","NSS","","0","0",""
"14",60209,"NSS","NSS","NSS","","0","0",""
