entidad,avinnitt,avinni1,avinni2,avinni3,avinni4,avinni5,avinni6
"01","268","21","5","66","14","1","161"
"02","1352","608","73","13","563","89","6"
"03","237","142","46","38","9","2","0"
"04","134","0","0","0","125","9","0"
"05","1066","130","13","0","816","107","0"
"07","341","174","20","0","129","11","7"
"08","2119","0","0","0","1924","195","0"
"09","12494","2260","1151","556","5318","2929","280"
"10","892","0","0","0","568","251","73"
"11","3154","1350","201","129","1179","191","104"
"12","306","0","0","0","260","45","1"
"13","672","447","89","0","126","10","0"
"14","1200","451","119","43","444","135","8"
"15","2694","999","478","0","1027","190","0"
"16","202","NSS","NSS","34","NSS","NSS","168"
"17","349","0","0","0","301","48","0"
"18","261","211","24","0","24","2","0"
"19","4209","0","0","0","3231","910","68"
"20","403","0","0","0","315","60","28"
"21","625","262","56","11","233","57","6"
"22","864","0","0","0","724","140","0"
"23","415","122","24","0","225","44","0"
"24","110","60","11","0","31","8","0"
"25","658","0","0","0","503","148","7"
"26","1448","963","73","0","361","51","0"
"27","556","0","0","0","514","40","2"
"28","1255","771","51","0","278","124","31"
"29","62","34","10","3","15","0","0"
"30","138","2","1","0","112","23","0"
"31","727","0","0","0","608","119","0"
"32","384","0","0","0","322","52","10"
