entidad,delitos,caupcott,caupco1,caupco2,caupco3,caupco4,caupco5,caupco6
"14",60101,"32","20","NSS","9","3","0",""
"14",60102,"1","0","0","","1","0",""
"14",60103,"1","NSS","NSS","1","0","0",""
"14",60104,"0","0","0","","0","0",""
"14",60105,"0","0","0","","0","0",""
"14",60106,"0","0","0","","0","0",""
"14",60109,"1","1","0","","0","0",""
"14",60199,"","","","","","",""
"14",60200,"0","0","0","","0","0",""
"14",60201,"0","0","0","","0","0",""
"14",60202,"0","0","0","","0","0",""
"14",60203,"0","0","0","","0","0",""
"14",60209,"0","0","0","","0","0",""
"14",60299,"","","","","","",""
"14",60300,"7","6","0","","1","0",""
"14",60400,"0","0","0","","0","0",""
"14",60900,"4","3","NSS","1","0","0",""
"14",70100,"609","412","5","166","21","NSS","5"
"14",70101,"7","6","1","","NSS","NSS",""
"14",70102,"10","8","2","","NSS","NSS",""
"14",70103,"2","1","1","","NSS","NSS",""
"14",70104,"NSS","NSS","NSS","","NSS","NSS",""
"14",70109,"NSS","NSS","NSS","","NSS","NSS",""
"14",70199,"590","397","1","166","21","","5"
"14",70200,"0","0","0","","0","0",""
"14",70201,"0","0","0","","0","0",""
"14",70202,"0","0","0","","0","0",""
"14",70203,"0","0","0","","0","0",""
"14",70204,"0","0","0","","0","0",""
"14",70205,"0","0","0","","0","0",""
"14",70206,"0","0","0","","0","0",""
"14",70209,"0","0","0","","0","0",""
"14",70299,"","","","","","",""
"14",70300,"0","0","0","","0","0",""
"14",70400,"13","8","NSS","4","1","0",""
"14",70500,"0","0","0","","0","0",""
"14",70600,"0","0","0","","0","0",""
"14",70900,"16","15","NSS","1","0","0",""
"14",80100,"25","9","NSS","15","1","0",""
"14",80101,"23","8","NSS","14","1","0",""
"14",80102,"0","0","0","","0","0",""
"14",80103,"0","0","0","","0","0",""
"14",80104,"0","0","0","","0","0",""
"14",80105,"0","0","0","","0","0",""
"14",80106,"0","0","0","","0","0",""
"14",80107,"0","0","0","","0","0",""
"14",80109,"2","1","NSS","1","0","0",""
"14",80199,"","","","","","",""
"14",80200,"0","0","0","","0","0",""
"14",80201,"0","0","0","","0","0",""
"14",80209,"0","0","0","","0","0",""
"14",80299,"","","","","","",""
"14",80300,"0","0","0","","0","0",""
"14",80400,"1","1","0","","0","0",""
"14",80900,"64","58","NSS","5","1","0",""
"14",90100,"45","33","NSS","11","1","0",""
"14",90200,"29","21","NSS","8","0","0",""
"14",90300,"18","8","NSS","10","0","0",""
"14",90400,"37","20","NSS","16","1","0",""
"14",90500,"3","1","0","","2","0",""
"14",90501,"NSS","NSS","0","","NSS","0",""
"14",90502,"NSS","NSS","0","","NSS","0",""
"14",90503,"NSS","NSS","0","","NSS","0",""
"14",90509,"NSS","NSS","0","","NSS","0",""
"14",90599,"3","1","","","2","",""
"14",90600,"0","0","0","","0","0",""
"14",90700,"0","0","0","","0","0",""
"14",90701,"0","0","0","","0","0",""
"14",90709,"0","0","0","","0","0",""
"14",90799,"","","","","","",""
"14",90800,"0","0","0","","0","0",""
"14",90900,"0","0","0","","0","0",""
"14",91000,"0","0","0","","0","0",""
"14",91100,"0","0","0","","0","0",""
"14",91200,"3","3","0","","0","0",""
"14",91300,"0","0","0","","0","0",""
"14",91400,"0","0","0","","0","0",""
"14",91500,"0","0","0","","0","0",""
"14",91600,"0","0","0","","0","0",""
"14",91900,"160","136","NSS","22","2","0",""
"14",999999,"","","","","","",""
"15",10100,"487","NSS","NSS","","445","42",""
"15",10200,"24","NSS","NSS","","22","2",""
"15",10300,"1","NSS","NSS","","1","0",""
"15",10400,"182","NSS","NSS","","181","NSS","1"
"15",10900,"NSS","NSS","NSS","","0","0",""
"15",20100,"NSS","NSS","NSS","","0","0",""
"15",20200,"NSS","NSS","NSS","","0","0",""
"15",20300,"NSS","NSS","NSS","","0","0",""
"15",20400,"NSS","NSS","NSS","","0","0",""
"15",20500,"NSS","NSS","NSS","","0","0",""
"15",20600,"234","NSS","NSS","","233","1",""
"15",20601,"NSS","NSS","NSS","","NSS","NSS",""
"15",20602,"NSS","NSS","NSS","","NSS","NSS",""
"15",20603,"NSS","NSS","NSS","","NSS","NSS",""
"15",20604,"NSS","NSS","NSS","","NSS","NSS",""
"15",20609,"NSS","NSS","NSS","","NSS","NSS",""
"15",20699,"234","","","","233","1",""
"15",20900,"NSS","NSS","NSS","","0","0",""
"15",30100,"81","NSS","NSS","","80","1",""
"15",30200,"3","NSS","NSS","","3","0",""
"15",30300,"NSS","NSS","NSS","","0","0",""
"15",30400,"NSS","NSS","NSS","","0","0",""
"15",30500,"NSS","NSS","NSS","","0","0",""
"15",30600,"1","NSS","NSS","","1","0",""
"15",30700,"NSS","NSS","NSS","","0","0",""
"15",30900,"10","NSS","NSS","","10","0",""
"15",40100,"3569","NSS","NSS","","3488","71","10"
"15",40101,"NSS","NSS","NSS","","NSS","NSS",""
"15",40102,"NSS","NSS","NSS","","NSS","NSS",""
"15",40103,"27","NSS","NSS","","27","0",""
"15",40104,"NSS","NSS","NSS","","NSS","NSS",""
"15",40105,"NSS","NSS","NSS","","NSS","NSS",""
"15",40106,"NSS","NSS","NSS","","NSS","NSS",""
"15",40107,"NSS","NSS","NSS","","NSS","NSS",""
"15",40108,"NSS","NSS","NSS","","NSS","NSS",""
"15",40109,"NSS","NSS","NSS","","NSS","NSS",""
"15",40110,"NSS","NSS","NSS","","NSS","NSS",""
"15",40111,"NSS","NSS","NSS","","NSS","NSS",""
"15",40112,"NSS","NSS","NSS","","NSS","NSS",""
"15",40113,"NSS","NSS","NSS","","NSS","NSS",""
"15",40114,"8","NSS","NSS","","8","0",""
