entidad,medidaca,resoemtt,resoem1,resoem2,resoemne
"01",1,"243","NSS","NSS","243"
"01",2,"81","NSS","NSS","81"
"01",3,"0","0","0",""
"01",4,"60","NSS","NSS","60"
"01",5,"27","NSS","NSS","27"
"01",6,"129","NSS","NSS","129"
"01",9,"","","",""
"02",1,"NSS","NSS","NSS",""
"02",2,"NSS","NSS","NSS",""
"02",3,"NSS","NSS","NSS",""
"02",4,"NSS","NSS","NSS",""
"02",5,"NSS","NSS","NSS",""
"02",6,"NSS","NSS","NSS",""
"02",9,"","","",""
"03",1,"211","92","119",""
"03",2,"18","7","11",""
"03",3,"0","0","0",""
"03",4,"237","147","90",""
"03",5,"30","18","12",""
"03",6,"513","382","131",""
"03",9,"","","",""
"04",1,"112","112","NSS",""
"04",2,"36","36","NSS",""
"04",3,"NSS","0","NSS",""
"04",4,"NSS","0","NSS",""
"04",5,"NSS","0","NSS",""
"04",6,"273","273","NSS",""
"04",9,"","","",""
"05",1,"592","447","145",""
"05",2,"15","6","9",""
"05",3,"0","0","0",""
"05",4,"21","18","3",""
"05",5,"1","1","0",""
"05",6,"668","595","73",""
"05",9,"","","",""
"06",1,"NSS","NSS","NSS",""
"06",2,"NSS","NSS","NSS",""
"06",3,"NSS","NSS","NSS",""
"06",4,"NSS","NSS","NSS",""
"06",5,"NSS","NSS","NSS",""
"06",6,"NSS","NSS","NSS",""
"06",9,"","","",""
"07",1,"NSS","NSS","NSS",""
"07",2,"NSS","NSS","NSS",""
"07",3,"NSS","NSS","NSS",""
"07",4,"NSS","NSS","NSS",""
"07",5,"NSS","NSS","NSS",""
"07",6,"NSS","NSS","NSS",""
"07",9,"","","",""
"08",1,"822","822","0",""
"08",2,"186","186","0",""
"08",3,"3","3","0",""
"08",4,"116","116","0",""
"08",5,"53","53","0",""
"08",6,"1208","1208","0",""
"08",9,"","","",""
"09",1,"NSS","NSS","NSS",""
"09",2,"NSS","NSS","NSS",""
"09",3,"NSS","NSS","NSS",""
"09",4,"NSS","NSS","NSS",""
"09",5,"NSS","NSS","NSS",""
"09",6,"NSS","NSS","NSS",""
"09",9,"4344","","","4344"
"10",1,"1539","1539","0",""
"10",2,"1290","1290","0",""
"10",3,"0","0","0",""
"10",4,"539","539","0",""
"10",5,"0","0","0",""
"10",6,"310","310","0",""
"10",9,"","","",""
"12",1,"27","27","0",""
"12",2,"4","4","0",""
"12",3,"0","0","0",""
"12",4,"15","15","0",""
"12",5,"0","0","0",""
"12",6,"33","33","0",""
"12",9,"","","",""
"13",1,"391","391","0",""
"13",2,"67","67","0",""
"13",3,"0","0","0",""
"13",4,"86","86","0",""
"13",5,"6","6","0",""
"13",6,"540","540","0",""
"13",9,"","","",""
"14",1,"NSS","NSS","NSS",""
