entidad,delconsu,delregtt,delreg1,delreg2
"01",10101,"NSS","NSS","NSS"
"01",40102,"NSS","NSS","NSS"
"01",40103,"NSS","NSS","NSS"
"01",40104,"NSS","NSS","NSS"
"01",40105,"NSS","NSS","NSS"
"01",40106,"NSS","NSS","NSS"
"01",40108,"NSS","NSS","NSS"
"01",40109,"NSS","NSS","NSS"
"01",40110,"NSS","NSS","NSS"
"01",40111,"NSS","NSS","NSS"
"01",40112,"NSS","NSS","NSS"
"01",40113,"NSS","NSS","NSS"
"01",40114,"NSS","NSS","NSS"
"01",40115,"NSS","NSS","NSS"
"01",40119,"NSS","NSS","NSS"
"02",10101,"15","15","0"
"02",40102,"380","380","0"
"02",40103,"327","327","0"
"02",40104,"27","27","0"
"02",40105,"90","90","0"
"02",40106,"0","0","0"
"02",40108,"1","1","0"
"02",40109,"0","0","0"
"02",40110,"0","0","0"
"02",40111,"0","0","0"
"02",40112,"1","1","0"
"02",40113,"67","67","0"
"02",40114,"0","0","0"
"02",40115,"0","0","0"
"02",40119,"122","122","0"
"03",10101,"NSS","NSS","NSS"
"03",40102,"NSS","NSS","NSS"
"03",40103,"NSS","NSS","NSS"
"03",40104,"NSS","NSS","NSS"
"03",40105,"NSS","NSS","NSS"
"03",40106,"NSS","NSS","NSS"
"03",40108,"NSS","NSS","NSS"
"03",40109,"NSS","NSS","NSS"
"03",40110,"NSS","NSS","NSS"
"03",40111,"NSS","NSS","NSS"
"03",40112,"NSS","NSS","NSS"
"03",40113,"NSS","NSS","NSS"
"03",40114,"NSS","NSS","NSS"
"03",40115,"NSS","NSS","NSS"
"03",40119,"NSS","NSS","NSS"
"04",10101,"11","7","4"
"04",40102,"11","11","0"
"04",40103,"8","8","0"
"04",40104,"0","0","0"
"04",40105,"0","0","0"
"04",40106,"0","0","0"
"04",40108,"0","0","0"
"04",40109,"0","0","0"
"04",40110,"0","0","0"
"04",40111,"0","0","0"
"04",40112,"0","0","0"
"04",40113,"0","0","0"
"04",40114,"0","0","0"
"04",40115,"0","0","0"
"04",40119,"10","10","0"
"05",10101,"NSS","NSS","NSS"
"05",40102,"NSS","NSS","NSS"
"05",40103,"NSS","NSS","NSS"
"05",40104,"NSS","NSS","NSS"
"05",40105,"NSS","NSS","NSS"
"05",40106,"NSS","NSS","NSS"
"05",40108,"NSS","NSS","NSS"
"05",40109,"NSS","NSS","NSS"
"05",40110,"NSS","NSS","NSS"
"05",40111,"NSS","NSS","NSS"
"05",40112,"NSS","NSS","NSS"
"05",40113,"NSS","NSS","NSS"
"05",40114,"NSS","NSS","NSS"
"05",40115,"NSS","NSS","NSS"
"05",40119,"NSS","NSS","NSS"
"06",10101,"NSS","NSS","NSS"
"06",40102,"NSS","NSS","NSS"
"06",40103,"NSS","NSS","NSS"
"06",40104,"NSS","NSS","NSS"
"06",40105,"NSS","NSS","NSS"
"06",40106,"NSS","NSS","NSS"
"06",40108,"NSS","NSS","NSS"
"06",40109,"NSS","NSS","NSS"
"06",40110,"NSS","NSS","NSS"
"06",40111,"NSS","NSS","NSS"
"06",40112,"NSS","NSS","NSS"
"06",40113,"NSS","NSS","NSS"
"06",40114,"NSS","NSS","NSS"
"06",40115,"NSS","NSS","NSS"
"06",40119,"NSS","NSS","NSS"
"07",10101,"44","32","12"
"07",40102,"32","32","0"
"07",40103,"24","24","0"
"07",40104,"1","1","0"
"07",40105,"69","67","2"
"07",40106,"4","4","0"
"07",40108,"9","8","1"
"07",40109,"0","0","0"
"07",40110,"1","1","0"
"07",40111,"2","2","0"
"07",40112,"0","0","0"
"07",40113,"51","47","4"
"07",40114,"3","3","0"
"07",40115,"0","0","0"
"07",40119,"21","18","3"
"08",10101,"228","209","19"
"08",40102,"29","21","8"
"08",40103,"45","42","3"
"08",40104,"1","1","0"
"08",40105,"109","97","12"
"08",40106,"0","0","0"
"08",40108,"1","1","0"
"08",40109,"0","0","0"
"08",40110,"0","0","0"
"08",40111,"0","0","0"
"08",40112,"1","1","0"
"08",40113,"72","61","11"
"08",40114,"1","1","0"
"08",40115,"0","0","0"
"08",40119,"62","52","10"
"09",10101,"0","0","0"
"09",40102,"0","0","0"
"09",40103,"0","0","0"
"09",40104,"0","0","0"
"09",40105,"0","0","0"
"09",40106,"0","0","0"
"09",40108,"0","0","0"
"09",40109,"0","0","0"
"09",40110,"0","0","0"
"09",40111,"0","0","0"
"09",40112,"0","0","0"
"09",40113,"0","0","0"
"09",40114,"0","0","0"
"09",40115,"0","0","0"
"09",40119,"0","0","0"
"10",10101,"66","66","0"
"10",40102,"29","29","0"
"10",40103,"12","12","0"
"10",40104,"0","0","0"
"10",40105,"22","22","0"
"10",40106,"0","0","0"
"10",40108,"0","0","0"
"10",40109,"7","7","0"
"10",40110,"0","0","0"
"10",40111,"2","2","0"
"10",40112,"0","0","0"
"10",40113,"33","33","0"
"10",40114,"0","0","0"
"10",40115,"0","0","0"
"10",40119,"0","0","0"
"11",10101,"46","45","1"
"11",40102,"23","23","0"
"11",40103,"31","31","0"
"11",40104,"0","0","0"
"11",40105,"11","11","0"
"11",40106,"0","0","0"
"11",40108,"1","1","0"
"11",40109,"0","0","0"
"11",40110,"0","0","0"
"11",40111,"0","0","0"
"11",40112,"0","0","0"
"11",40113,"171","164","7"
"11",40114,"3","3","0"
"11",40115,"0","0","0"
"11",40119,"0","0","0"
"12",10101,"85","85","0"
"12",40102,"22","22","0"
"12",40103,"63","63","0"
"12",40104,"0","0","0"
"12",40105,"1","1","0"
"12",40106,"0","0","0"
"12",40108,"0","0","0"
"12",40109,"0","0","0"
"12",40110,"0","0","0"
"12",40111,"0","0","0"
"12",40112,"0","0","0"
"12",40113,"1","1","0"
"12",40114,"1","1","0"
"12",40115,"0","0","0"
"12",40119,"21","21","0"
"13",10101,"57","56","1"
"13",40102,"84","84","0"
"13",40103,"9","8","1"
